Nome ,Cluster
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2
10,0
11,2
12,0
13,0
14,2
15,0
16,2
17,2
18,2
19,2
20,2
21,0
22,2
23,2
24,0
25,0
26,2
27,0
28,0
29,0
30,2
31,0
32,2
33,2
34,0
35,0
36,0
37,2
38,2
39,2
40,0
41,2
42,0
43,2
44,2
45,2
46,0
47,2
48,2
49,2
50,2
51,0
52,0
53,0
54,0
55,2
56,2
57,2
58,2
59,0
60,0
61,2
62,2
63,2
64,0
65,2
66,0
67,0
68,0
69,2
70,2
71,2
72,2
73,0
74,0
75,2
76,2
77,2
78,2
79,0
80,2
81,2
82,2
83,2
84,2
85,2
86,0
87,2
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,0
107,2
108,2
109,2
110,0
111,2
112,0
113,0
114,0
115,0
116,2
117,0
118,2
119,2
120,2
121,0
122,0
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,0
132,2
133,2
134,2
135,2
136,2
137,0
138,2
139,2
140,2
141,2
142,2
143,2
144,0
145,2
146,2
147,0
148,0
149,0
150,0
151,2
152,0
153,2
154,2
155,2
156,2
157,0
158,0
159,2
160,2
161,2
162,2
163,0
164,0
165,2
166,2
167,2
168,2
169,2
170,0
171,2
172,0
173,2
174,2
175,2
176,2
177,2
178,2
179,0
180,2
181,2
182,0
183,2
184,2
185,0
186,0
187,0
188,2
189,0
190,2
191,2
192,2
193,0
194,2
195,2
196,2
197,1
198,2
199,1
200,2
201,0
202,0
203,2
204,2
205,2
206,2
207,0
208,2
209,2
210,2
211,2
212,2
213,2
214,0
215,2
216,2
217,0
218,0
219,2
220,2
221,0
222,2
223,2
224,0
225,0
226,2
227,2
228,2
229,0
230,2
231,0
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,0
244,2
245,0
246,2
247,0
248,0
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,1
263,2
264,0
265,1
266,1
267,2
268,0
269,0
270,2
271,0
272,0
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,0
286,0
287,2
288,0
289,0
290,2
291,0
292,2
293,2
294,0
295,0
296,0
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,0
306,0
307,0
308,2
309,0
310,2
311,1
312,2
313,2
314,1
315,2
316,0
317,1
318,2
319,1
320,1
321,2
322,1
323,0
324,2
325,0
326,0
327,0
328,2
329,0
330,0
331,2
332,2
333,0
334,2
335,0
336,0
337,2
338,0
339,2
340,2
341,2
342,2
343,0
344,2
345,2
346,2
347,0
348,2
349,0
350,2
351,0
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,0
361,0
362,0
363,2
364,0
365,2
366,2
367,2
368,0
369,0
370,2
371,2
372,2
373,2
374,2
375,2
376,1
377,0
378,1
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,1
387,1
388,0
389,2
390,2
391,2
392,0
393,2
394,1
395,2
396,0
397,2
398,0
399,2
400,2
401,2
402,0
403,0
404,0
405,2
406,2
407,2
408,2
409,2
410,0
411,0
412,2
413,2
414,2
415,0
416,0
417,2
418,2
419,2
420,2
421,2
422,0
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,0
431,0
432,0
433,0
434,2
435,2
436,2
437,2
438,2
439,0
440,0
441,0
442,0
443,2
444,2
445,0
446,2
447,2
448,2
449,0
450,2
451,0
452,2
453,0
454,0
455,2
456,0
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,0
465,2
466,0
467,0
468,0
469,0
470,2
471,2
472,2
473,2
474,0
475,2
476,2
477,2
478,0
479,2
480,0
481,0
482,2
483,2
484,0
485,0
486,2
487,2
488,2
489,2
490,2
491,2
492,0
493,0
494,1
495,2
496,2
497,2
498,1
499,2
500,0
501,2
502,2
503,2
504,0
505,0
506,2
507,2
508,2
509,0
510,0
511,2
512,0
513,2
514,2
515,2
516,2
517,0
518,2
519,0
520,2
521,0
522,2
523,2
524,2
525,0
526,2
527,2
528,2
529,2
530,0
