Nome ,Cluster
0,2
1,2
2,2
3,11
4,2
5,2
6,13
7,2
8,2
9,12
10,2
11,12
12,13
13,14
14,0
15,2
16,3
17,3
18,3
19,10
20,5
21,13
22,0
23,10
24,7
25,0
26,6
27,0
28,14
29,2
30,3
31,2
32,5
33,3
34,13
35,11
36,8
37,7
38,12
39,6
40,8
41,6
42,13
43,9
44,0
45,7
46,13
47,9
48,9
49,7
50,9
51,2
52,2
53,2
54,5
55,8
56,5
57,9
58,6
59,2
60,13
61,11
62,0
63,11
64,11
65,10
66,0
67,2
68,8
69,7
70,7
71,7
72,10
73,8
74,8
75,6
76,10
77,10
78,5
79,2
80,9
81,6
82,6
83,6
84,6
85,10
86,7
87,6
88,8
89,10
90,2
91,2
92,2
93,8
94,8
95,5
96,2
97,8
98,10
99,10
100,9
101,10
102,0
103,6
104,9
105,10
106,2
107,5
108,11
109,11
110,11
111,10
112,5
113,13
114,2
115,0
116,12
117,9
118,11
119,9
120,0
121,2
122,2
123,6
124,6
125,9
126,10
127,10
128,9
129,9
130,10
131,13
132,7
133,10
134,12
135,12
136,5
137,11
138,10
139,10
140,12
141,7
142,0
143,7
144,13
145,14
146,10
147,5
148,14
149,2
150,2
151,9
152,9
153,12
154,0
155,7
156,6
157,13
158,2
159,10
160,0
161,5
162,8
163,11
164,7
165,12
166,10
167,0
168,11
169,9
170,8
171,7
172,13
173,12
174,5
175,5
176,5
177,5
178,11
179,0
180,11
181,9
182,14
183,9
184,13
185,2
186,2
187,13
188,12
189,11
190,11
191,12
192,12
193,14
194,7
195,11
196,3
197,4
198,3
199,3
200,3
201,0
202,13
203,10
204,5
205,5
206,7
207,5
208,10
209,0
210,7
211,7
212,7
213,9
214,12
215,10
216,6
217,2
218,13
219,6
220,10
221,8
222,10
223,6
224,13
225,5
226,6
227,6
228,6
229,8
230,6
231,14
232,5
233,0
234,0
235,9
236,6
237,7
238,8
239,10
240,7
241,6
242,6
243,8
244,5
245,14
246,7
247,2
248,5
249,11
250,5
251,11
252,9
253,5
254,6
255,0
256,10
257,3
258,3
259,3
260,3
261,5
262,3
263,11
264,11
265,3
266,3
267,3
268,3
269,7
270,14
271,2
272,11
273,9
274,7
275,11
276,10
277,0
278,12
279,12
280,6
281,0
282,12
283,0
284,7
285,2
286,7
287,6
288,5
289,8
290,6
291,9
292,10
293,5
294,9
295,0
296,14
297,3
298,3
299,12
300,3
301,12
302,10
303,5
304,10
305,0
306,11
307,7
308,11
309,11
310,12
311,1
312,12
313,3
314,4
315,12
316,13
317,4
318,12
319,4
320,4
321,12
322,4
323,5
324,0
325,13
326,2
327,2
328,6
329,8
330,7
331,6
332,6
333,5
334,14
335,7
336,2
337,7
338,0
339,6
340,6
341,6
342,11
343,5
344,11
345,10
346,12
347,5
348,10
349,2
350,5
351,11
352,3
353,12
354,5
355,5
356,9
357,12
358,6
359,6
360,7
361,8
362,8
363,5
364,8
365,5
366,6
367,6
368,2
369,2
370,6
371,6
372,6
373,7
374,12
375,12
376,4
377,2
378,4
379,3
380,12
381,12
382,12
383,3
384,12
385,8
386,4
387,4
388,13
389,12
390,3
391,3
392,13
393,12
394,1
395,12
396,2
397,3
398,2
399,3
400,12
401,12
402,5
403,13
404,13
405,7
406,5
407,6
408,5
409,0
410,7
411,2
412,12
413,13
414,7
415,2
416,13
417,9
418,10
419,6
420,6
421,10
422,13
423,3
424,3
425,10
426,11
427,3
428,7
429,12
430,13
431,13
432,5
433,7
434,7
435,7
436,0
437,7
438,3
439,3
440,11
441,13
442,13
443,12
444,12
445,0
446,12
447,3
448,10
449,11
450,8
451,13
452,14
453,2
454,7
455,6
456,11
457,12
458,12
459,3
460,5
461,6
462,5
463,0
464,8
465,6
466,8
467,5
468,11
469,14
470,6
471,7
472,12
473,6
474,5
475,10
476,6
477,3
478,13
479,3
480,14
481,2
482,10
483,10
484,2
485,8
486,9
487,12
488,3
489,3
490,12
491,10
492,11
493,13
494,4
495,10
496,3
497,3
498,4
499,10
500,8
501,7
502,5
503,10
504,5
505,2
506,6
507,7
508,9
509,13
510,8
511,6
512,2
513,3
514,3
515,12
516,3
517,14
518,7
519,1
520,12
521,1
522,12
523,0
524,10
525,11
526,0
527,14
528,9
529,9
530,13
531,13
532,9
533,9
534,2
535,14
536,9
537,14
538,5
539,14
540,2
541,14
542,11
543,3
544,11
